iter	RMSE
190	11939.22857
191	11899.96864
192	11851.48297
193	11846.50423
194	11809.73957
195	11777.13369
196	11739.17354
197	11706.38088
198	11664.41287
199	11650.59395
200	11599.6285
201	11556.16856
202	11527.80391
203	11485.43946
204	11436.67168
205	11397.25693
206	11385.39766
207	11349.63562
208	11346.29887
209	11289.34626
210	11263.61362
211	11236.38527
212	11220.96764
213	11200.85217
214	11173.14863
215	11127.28599
216	11080.4938
217	11051.04578
218	10996.0522
219	10962.3235
220	10908.55217
221	10862.92045
222	10853.83457
223	10795.08898
224	10750.58637
225	10719.24602
226	10686.85193
227	10683.91838
228	10652.10797
229	10604.99699
230	10602.76164
231	10583.67974
232	10535.44073
233	10503.48773
234	10466.76111
235	10438.80396
236	10417.84128
237	10406.98314
238	10404.8169
239	10396.00984
240	10362.08541
241	10313.62525
242	10298.01536
243	10291.82685
244	10250.04681
245	10218.66023
246	10186.33357
247	10169.39084
248	10147.74235
249	10114.38827
250	10103.74257
251	10073.41502
252	10027.44547
253	9988.06545
254	9963.022399
255	9939.037555
256	9919.35107
257	9875.695805
258	9858.790415
259	9832.746312
260	9816.343744
261	9785.015466
262	9781.512939
263	9743.662688
264	9710.581502
265	9676.812975
266	9671.570936
267	9668.021356
268	9637.531367
269	9607.777546
270	9595.785448
271	9561.149865
272	9534.535476
273	9514.789629
274	9494.331544
275	9452.107267
276	9422.561897
277	9383.896996
278	9344.021452
279	9331.345877
280	9291.480251
281	9251.818904
282	9233.648938
283	9208.33546
284	9194.895118
285	9169.552925
286	9129.375793
287	9101.628474
288	9100.146888
289	9072.054214
290	9039.214641
291	9010.696957
292	8980.075202
293	8956.176484
294	8935.164137
295	8909.48316
296	8896.42856
297	8886.653108
298	8867.708155
299	8851.813771
300	8811.824941
301	8787.308756
302	8782.480743
303	8738.560541
304	8717.928691
305	8689.607686
306	8675.723159
307	8647.736934
308	8646.518432
309	8627.043181
310	8606.545907
311	8596.853221
312	8593.519019
313	8562.580671
314	8560.726663
315	8539.072221
316	8527.689372
317	8525.709613
318	8501.366111
319	8482.041018
320	8467.448917
321	8448.026416
322	8417.092811
323	8386.151253
324	8370.795822
325	8357.586788
326	8339.878997
327	8327.241335
328	8304.335697
329	8287.548731
330	8265.857607
331	8243.280208
332	8222.758801
333	8205.737015
334	8194.271825
335	8172.090229
336	8142.294299
337	8132.998917
338	8111.674558
339	8090.288504
340	8067.097598
341	8047.538607
342	8043.076577
343	8020.969875
344	7992.38776
345	7971.484679
346	7949.459243
347	7921.243463
348	7882.363608
349	7865.894928
350	7856.256769
351	7845.404674
352	7841.976009
353	7839.77964
354	7826.760267
355	7806.164532
356	7786.461016
357	7785.629044
358	7760.45051
359	7729.257063
360	7707.687581
361	7686.999419
362	7658.920667
363	7640.971129
364	7614.248349
365	7613.31283
366	7594.054858
367	7578.4859
368	7562.054258
369	7537.453001
370	7517.921624
371	7515.889668
372	7501.875335
373	7493.165365
374	7474.900574
375	7447.249923
376	7437.286346
377	7421.125492
378	7386.840525
379	7361.74073
380	7340.246233
381	7338.399209
382	7329.873358
383	7328.02872
384	7300.608203
385	7289.728413
386	7270.509701
387	7269.805486
388	7252.157897
389	7231.365935
390	7223.439909
391	7207.321752
392	7206.791478
393	7180.487304
394	7153.797945
395	7125.004198
396	7112.312114
397	7100.583626
398	7081.707413
399	7069.389663
400	7035.383625
401	7024.257493
402	7008.459955
403	6996.540236
404	6971.432315
405	6951.183262
406	6933.276784
407	6920.394806
408	6905.172837
409	6877.784577
410	6877.158431
411	6849.268597
412	6836.374847
413	6807.174441
414	6797.426442
415	6788.198925
416	6785.274886
417	6773.955154
418	6759.848207
419	6738.894697
420	6725.543176
421	6714.409107
422	6698.135515
423	6685.620493
424	6673.089053
425	6663.171506
426	6643.97995
427	6618.528822
428	6603.658399
429	6584.565916
430	6572.460274
431	6563.895496
432	6550.502656
433	6524.787726
434	6506.321159
435	6491.118752
436	6481.046024
437	6468.47584
438	6453.698096
439	6435.523235
440	6427.626638
441	6415.641989
442	6398.383632
443	6381.04938
444	6374.835221
445	6356.233584
446	6349.687142
447	6336.169361
448	6319.252644
449	6305.492875
450	6286.079143
451	6275.282296
452	6259.400425
453	6256.955284
454	6246.01607
455	6234.294372
456	6213.651619
457	6197.069468
458	6196.575135
459	6177.024437
460	6170.29198
461	6169.792383
462	6139.683759
463	6128.166098
464	6124.966884
465	6124.181324
466	6117.850943
467	6104.330189
468	6091.700739
469	6091.274285
470	6083.011463
471	6076.210962
472	6059.267026
473	6050.244825
474	6039.640765
475	6027.085268
476	6019.10325
477	6005.342664
478	5988.90556
479	5988.028088
480	5976.44824
481	5962.018818
482	5961.604254
483	5950.710522
484	5943.585854
485	5928.402899
486	5911.359324
487	5903.277914
488	5896.523459
489	5885.874837
490	5870.651328
491	5853.721107
492	5841.296951
493	5830.343073
494	5814.686459
495	5804.943736
496	5799.941059
497	5790.440762
498	5773.498231
499	5765.617321
500	5750.551977
501	5730.044916
502	5714.592605
503	5703.893016
504	5690.11374
505	5673.78519
506	5663.433913
507	5650.303239
508	5640.91613
509	5635.389983
510	5623.308456
511	5607.446015
512	5592.259244
513	5579.433638
514	5567.362963
515	5567.032876
516	5565.140259
517	5551.451039
518	5536.845806
519	5521.043222
520	5520.384671
521	5497.751867
522	5483.950463
523	5475.293813
524	5466.157843
525	5455.297291
526	5446.520621
527	5435.350064
528	5426.338332
529	5414.826061
530	5408.20243
531	5400.909056
532	5393.599838
533	5388.836878
534	5384.228451
535	5372.18916
536	5364.440476
537	5358.311459
538	5342.292627
539	5324.609949
540	5310.852431
541	5302.674712
542	5299.685821
543	5289.647668
544	5278.401244
545	5266.069613
546	5265.41678
547	5249.497495
548	5235.614155
549	5235.216155
550	5219.843473
551	5205.607198
552	5188.96834
553	5181.184879
554	5177.340588
555	5167.804891
556	5153.726662
557	5144.713771
558	5135.37292
559	5117.024007
560	5103.607399
561	5095.168577
562	5083.64479
563	5067.164214
564	5053.354219
565	5043.87519
566	5033.475644
567	5021.791379
568	5020.215304
569	5013.849083
570	5002.576038
571	4995.17263
572	4982.903032
573	4966.49054
574	4962.890352
575	4960.603728
576	4940.854495
577	4934.818346
578	4928.775844
579	4927.483933
580	4921.709771
581	4921.461614
582	4913.205954
583	4907.223154
584	4892.330937
585	4886.801865
586	4875.317256
587	4860.277295
588	4856.799225
589	4847.296327
590	4836.020503
591	4830.045008
592	4819.65159
593	4813.74456
594	4795.014334
595	4781.771353
596	4779.624626
597	4766.383066
598	4761.42973
599	4753.209144
600	4744.594388
601	4740.921004
602	4726.220687
603	4722.420784
604	4717.724296
605	4709.48223
606	4690.004342
607	4688.961802
608	4679.243023
609	4667.546519
610	4658.400467
611	4646.672095
612	4641.923625
613	4631.578635
614	4618.784234
615	4598.467411
616	4589.759745
617	4577.495365
618	4565.766969
619	4555.549946
620	4549.825975
621	4544.090963
622	4539.810445
623	4531.012444
624	4522.196604
625	4521.777241
626	4517.727371
627	4512.063265
628	4501.689991
629	4489.7052
630	4476.189227
631	4475.627459
632	4467.270829
633	4453.654324
634	4442.212431
635	4441.163756
636	4431.019951
637	4426.825304
638	4420.524973
639	4417.113253
640	4404.450545
641	4400.376854
642	4395.196082
643	4384.513368
644	4364.411255
645	4361.147864
646	4357.985129
647	4351.646817
648	4350.767328
649	4343.492512
650	4334.074103
651	4325.039061
652	4322.182709
653	4312.161664
654	4297.227737
655	4294.39473
656	4281.043017
657	4272.215881
658	4264.67715
659	4254.722836
660	4244.137622
661	4240.683452
662	4228.286526
663	4217.176758
664	4208.452211
665	4197.227553
666	4188.042025
667	4182.790083
668	4182.396217
669	4173.18575
670	4168.740591
671	4162.947299
672	4154.326379
673	4153.947592
674	4146.469905
675	4143.377861
676	4142.860579
677	4140.256165
678	4128.291047
679	4125.720048
680	4120.035049
681	4119.846157
682	4112.576488
683	4105.097173
684	4098.851735
685	4098.537159
686	4087.132423
687	4085.192983
688	4077.045446
689	4068.140128
690	4060.227137
691	4052.398357
692	4051.813857
693	4038.182927
694	4033.293885
695	4031.322313
696	4016.910637
697	4007.943362
698	4007.120029
699	4002.914909
700	4002.698024
701	4002.242094
702	3999.665056
703	3992.843511
704	3992.66033
705	3988.755384
706	3981.115027
707	3974.157906
708	3967.575552
709	3957.147283
710	3947.196539
711	3935.362351
712	3930.040384
713	3925.900707
714	3921.6711
715	3915.742035
716	3903.951164
717	3895.670504
718	3887.491555
719	3870.841259
720	3858.677567
721	3855.026673
722	3850.797892
723	3841.386797
724	3836.015219
725	3828.337988
726	3820.756225
727	3816.188891
728	3806.2974
729	3801.190448
730	3800.973122
731	3798.413751
732	3793.948855
733	3790.174766
734	3780.57256
735	3769.592116
736	3763.344007
737	3756.843852
738	3749.792203
739	3738.258084
740	3735.300116
741	3727.39552
742	3725.799687
743	3722.146371
744	3719.283704
745	3713.009598
746	3712.441234
747	3704.071757
748	3697.558167
749	3693.259004
750	3691.204671
751	3683.852214
752	3675.394997
753	3662.011035
754	3660.286142
755	3657.289
756	3651.828648
757	3651.592671
758	3645.562849
759	3645.335984
760	3641.79613
761	3631.529724
762	3625.285817
763	3621.305706
764	3612.116339
765	3608.057143
766	3598.549189
767	3598.2331
768	3595.803869
769	3589.813392
770	3585.707674
771	3578.80082
772	3571.334159
773	3567.037575
774	3559.244631
775	3551.034739
776	3546.263426
777	3542.725282
778	3539.731464
779	3531.355256
780	3528.406652
781	3523.845696
782	3515.913282
783	3505.748875
784	3500.479108
785	3496.326973
786	3493.998589
787	3479.688271
788	3473.831005
789	3470.927896
790	3467.265275
791	3463.367218
792	3456.863384
793	3454.423673
794	3446.105648
795	3444.182746
796	3434.876253
797	3427.383977
798	3412.637229
799	3405.222844
800	3399.255956
801	3394.373321
802	3386.612805
803	3381.084092
804	3375.888977
805	3373.275908
806	3369.620589
807	3364.464096
808	3362.896129
809	3352.689955
810	3344.938417
811	3335.862564
812	3328.72127
813	3324.062049
814	3323.924125
815	3322.279429
816	3319.076398
817	3315.461749
818	3313.288608
819	3308.007791
820	3306.334026
821	3298.864192
822	3293.518535
823	3293.324738
824	3278.985459
825	3274.136832
826	3270.307273
827	3268.541726
828	3265.693692
829	3257.917083
830	3254.797475
831	3243.401552
832	3234.069463
833	3228.665749
834	3227.943758
835	3227.71817
836	3221.089869
837	3212.827931
838	3205.863119
839	3200.26986
840	3196.162295
841	3193.697761
842	3189.651427
843	3186.900728
844	3179.132079
845	3173.307529
846	3165.846345
847	3163.653845
848	3153.517125
849	3149.233713
850	3148.417008
851	3140.61199
852	3136.257645
853	3129.51257
854	3116.478221
855	3113.621388
856	3109.403905
857	3105.080963
858	3103.018499
859	3097.517717
860	3096.129966
861	3090.920403
862	3088.703968
863	3082.032603
864	3076.522112
865	3072.327457
866	3066.401066
867	3056.768337
868	3050.215908
869	3043.07744
870	3036.781045
871	3031.036995
872	3029.215637
873	3023.735777
874	3016.075582
875	3013.43657
876	3009.544577
877	3007.498022
878	3003.190762
879	2997.77467
880	2994.637875
881	2987.053799
882	2984.771735
883	2979.199068
884	2978.67537
885	2973.678724
886	2967.495613
887	2962.498521
888	2957.839044
889	2955.568713
890	2954.882269
891	2947.573843
892	2945.001618
893	2936.499637
894	2931.235154
895	2927.695863
896	2925.823241
897	2920.237729
898	2918.931822
899	2914.854001
900	2911.016928
901	2908.545924
902	2908.28233
903	2904.495965
904	2899.647652
905	2894.498131
906	2887.097559
907	2881.595946
908	2878.697359
909	2872.52203
910	2866.209426
911	2864.448209
912	2861.504845
913	2854.009033
914	2852.625561
915	2847.468165
916	2845.170319
917	2843.394718
918	2841.291287
919	2833.852757
920	2826.686499
921	2826.562814
922	2822.986332
923	2817.782542
924	2813.475964
925	2810.140245
926	2803.333584
927	2799.278489
928	2794.792518
929	2792.661116
930	2789.694446
931	2786.171127
932	2778.438499
933	2774.427587
934	2769.380964
935	2763.166622
936	2758.377855
937	2753.549212
938	2746.676691
939	2744.326154
940	2739.742424
941	2734.565485
942	2725.321326
943	2719.271833
944	2717.367748
945	2715.279895
946	2711.506348
947	2704.20183
948	2700.592212
949	2691.003201
950	2688.903729
951	2688.750582
952	2681.804247
953	2681.618601
954	2678.969848
955	2670.212794
956	2665.186351
957	2660.275694
958	2656.425706
959	2649.99248
960	2647.416754
961	2641.607366
962	2636.767256
963	2634.32811
964	2624.169999
965	2620.846718
966	2620.659662
967	2617.13029
968	2613.300461
969	2607.132978
970	2599.834384
971	2594.229093
972	2586.414786
973	2583.829439
974	2579.725389
975	2577.174599
976	2575.014483
977	2571.921004
978	2570.368352
979	2565.994004
980	2564.833112
981	2561.435428
982	2560.3298
983	2555.188241
984	2552.593188
985	2545.270778
986	2541.172364
987	2541.030571
988	2537.938303
989	2537.868586
990	2530.94378
991	2527.226553
992	2522.297173
993	2518.88188
994	2517.135898
995	2515.2297
996	2512.837103
997	2512.719389
998	2511.891368
999	2506.576295
